questions,option1,option2,option3,option4,option5,answer,explanation,type,section
Al₂O₃ এর অম্লত্ব কত?,6,4,3,a ও c,,1,,1,1
নিচের কোনটি উভয়ধর্মী?,HPO₄²⁻,HSO₄⁻,H₂O,সবগুলোই,,4,,1,1
Amphoteric পদার্থ কোনটি?,HS⁻,কাঁচ,পানি,a ও c,,4,,1,1
BOD এর মান কত হলে সেই পানি উত্তম হবে?,1.0 mg/L,1.0 g/L,0.01 g/L,1.01 mg/L,,1,,1,1
নিচের কোনটি লুইস বিক্রিয়া?,HCl + NaOH → NaCl + H₂O,BF₃ + NH₃ → Complex,CH₃COOH ⇌ CH₃COO⁻ + H⁺,কোনোটিই নয়,,2,,1,1
সমতুল্যের CH₄ ও H₂ কে সমপরিমাণে 25°C এ রাখা হলো। H₂ এর আংশিক চাপ ও মোট চাপের অনুপাত কত?,1/2,1/9,8/9,16/17,,3,,1,1
0.5 g তরলকে সম্পূর্ণরূপে বাষ্পীভূত করলে তা 150°C তাপমাত্রায় ও 0.99 atm চাপে 325 mL স্থান দখল করে। তরল পদার্থটির আণবিক ভর কত?,55.8,53.9,48.7,64,,2,,1,1
আদর্শ গ্যাসের সংকোচনশীলতা গুণাঙ্কের মান কত হয়?,0,α,1,>1 বা <1,,3,,1,1
TDS কমানো যায়-,সিলিকা ফিল্টার ব্যবহার করে,চিমনি সাহায্যে,আয়ন বিনিময়করণের মাধ্যমে,আয়নাইজেশনের মাধ্যমে,,3,,1,1
25°C তাপমাত্রায় 5L পাত্রে 3 mol O₂ gas আছে। এ তাপমাত্রায় প্রতি O₂ অণুর গড় গতিশক্তি কত হবে?,1.85 × 10⁻²⁰ J,6.17 × 10⁻²¹ J,1.115 × 10¹ J,565.5 J,,2,,1,1
25°C তাপমাত্রায় কোনো গ্যাসের ক্ষেত্রে চাপ 1 atm হলে 1/V এর মান 0.05 L⁻¹ হয়। 1/V এর মান 0.042 L⁻¹ হলে তখন চাপ (P) এর মান কত হবে?,0.05 atm,20 atm,0.035 atm,0.84 atm,,4,,1,1
"A ও B গ্যাসের মোল সংখ্যা যথাক্রমে 10 mol ও 30 mol এর মিশ্রণের মোট চাপ 12 atm হলে, A গ্যাসের আংশিক চাপ কত হবে?",3 atm,9 atm,16 atm,48 atm,,1,,1,1
STP তে 3.2g একটি গ্যাস 2.24L আয়তন দখল করলে গ্যাসটি কোন গ্যাস হতে পারে?,CO,CO₂,N₂,O₂,,4,,1,1
স্থির তাপমাত্রায় RMS বেগের সঠিক ক্রম কোনটি?,H₂ > N₂ > CO₂,CO₂ > N₂ > H₂,N₂ > CO₂ > H₂,N₂ > H₂ > CO₂,,1,,1,1
28.0g N₂ গ্যাসের জন্য ভ্যানডার ওয়ালস সমীকরণ কোনটি?,(P + 2a/V²)(V − 2b) = 2RT,(P + n²a/V²)(V − nb) = nRT,(P + a/V²)(V − b) = RT,(P + a/V²)(V − b) = nRT,,3,,1,1
নিচের কোন জোড়া লুইস এসিড?,H₂O ও AlCl₃,AlCl₃ ও BF₃,BF₃ ও NH₃,NH₃ ও AlCl₃,,2,,1,1
H₂CO₃ + H₂O ⇌ HCO₃⁻ + H₃O⁺; এই বিক্রিয়ায় অনুরূপ অম্ল জোড় কোনটি?,"H₂CO₃, HCO₃⁻","H₃O⁺, H₂CO₃","H₃O⁺, H₂O","H₂O, HCO₃⁻",,2,,1,1
নিচের দূষক পানির DO এর পরিমাণ কমায়- (i) অজৈব দূষক (ii) জৈব দূষক (iii) তেজস্ক্রিয় দূষক; নিচের কোনটি সঠিক?,"i, ii","ii, iii","i, iii","i, ii, iii",,1,,1,1
এসিডের তীব্রতার ক্রম- (i) H₂SO₄ > HNO₃ (ii) H₂SO₄ > HClO₄ (iii) HNO₃ > H₂SO₃; নিচের কোনটি সঠিক?,"i, ii","ii, iii","i, iii","i, ii, iii",,3,,1,1
"NH₃ ক্ষারধর্মী যৌগ, কারণ- (i) জোড়া ইলেকট্রন দাতা (ii) এসিডের সাথে বিক্রিয়া করে (iii) প্রোটন গ্রহীতা; নিচের কোনটি সঠিক?","i, ii","ii, iii","i, iii","i, ii, iii",,4,,1,1
"একই তাপমাত্রায় সমপরিমাণ (ভর) A, B ও C গ্যাস পৃথকভাবে সমআয়তনে রয়েছে। এখানে, M_A > M_C > M_B হলে কোনটি সঠিক?",P_A = P_B = P_C,P_A > P_B > P_C,P_A < P_C < P_B,P_B < P_C < P_A,,3,,1,1
"গ্যাস অণুগুলোর ক্ষেত্রে সর্বাধিক বেগ C*, গড় বেগ C̄ এবং বর্গমূল গড় বেগ C হলে, নিচের কোন মানটি সঠিক?",C*: C̄ : C = 1 : 1.225 : 1.128,C*: C̄ : C = 1.225 : 1.28 : 1,C*: C̄ : C = 1.128 : 1.225 : 1,C*: C̄ : C = 1 : 1.128 : 1.225,,4,,1,1
সমান ভরের দুটি গ্যাস A ও B একই চাপ ও তাপমাত্রায় দুটি পৃথক পাত্রে রয়েছে। A ও B এর আণবিক ভরের অনুপাত 2:3 হলে পাত্র দুটির আয়তনের অনুপাত কত?,3 : 4,4 : 3,2 : 3,3 : 2,,4,,1,1
একটি পাত্রে P atm চাপে সমপরিমাণ N₂ ও O₂ গ্যাস রাখা আছে। তাপমাত্রা স্থির রেখে পাত্র থেকে সমস্ত N₂ গ্যাস অপসারণ করে দেওয়া হলো। বর্তমান পাত্রের চাপ কত atm?,2P,P,P/2,P/4,,3,,1,1
এক পরমাণুক গ্যাসের বর্গমূল গড় বেগের সাথে গ্যাসের গতিশক্তি E এর সম্পর্ক কোনটি?,C.R.M.S = (E/2M)^(1/2),C.R.M.S = (2E/M)^(1/2),C.R.M.S = (3E/2M)^(1/2),C.R.M.S = (E/3M)^(1/2),,2,,1,1
80 cm³ গ্যাসের আয়তন 20% বৃদ্ধি করা হলো কিন্তু চাপ স্থির রাখা হলো। প্রাথমিক তাপমাত্রা 25°C হলে গ্যাসটিকে কত তাপমাত্রায় উত্তপ্ত করা হয়েছিল?,357.6°C,30.0°C,84.6°C,60.0°C,,3,,1,1
"CₙH₂ₙ₊₂ সংকেত বিশিষ্ট একটি গ্যাসীয় হাইড্রোকার্বনের 68°C তাপমাত্রায় RMS বেগ, 227°C তাপমাত্রায় CO₂ এর RMS বেগের সমান। n এর মান কত?",1,2,3,4,,2,,1,1
বৃষ্টিপাতের সময় যেকোনো স্থানের বায়ুমণ্ডলে কোন এসিডটি উৎপন্ন হয়?,H₂SO₄,HClO₃,H₃PO₄,HNO₃,,4,,1,1
FGD প্লান্টের মাধ্যমে কোনটি দূর করা যায় না?,SOx,NOx,CO₂,CO,,4,,1,1
FGD প্লান্টে ফ্লু-গ্যাসের SO₂ গ্যাস শোষণ বিক্রিয়া হলে- (i) Ca(OH)₂ + SO₂ → CaSO₃ + H₂O (ii) 2H₂S + SO₂ → 2H₂O + 3S (iii) CaSO₃ + SO₂ → CaSO₃ + CO₂; নিচের কোনটি সঠিক?,"i, ii","ii, iii","i, iii","i, ii, iii",,4,,1,1
খাদ্য শৃঙ্খলে ভারী ধাতুর আয়ন যুক্ত হলে মানুষের শরীরে- (i) Cr³⁺ আয়ন দূষণের ফলে অ্যানিমিয়া রোগ হয় (ii) Pb²⁺ আয়ন দূষণের ফলে শিশুর IQ বা বুদ্ধিবৃত্তি হ্রাস পায় (iii) Cd²⁺ আয়ন দূষণের ফলে অস্থি ভঙ্গুর হয়; নিচের কোনটি সঠিক?,"i, ii","ii, iii","i, iii","i, ii, iii",,4,,1,1
ট্যানারি শিল্পের কোন বর্জ্য পানির BOD বৃদ্ধি করে? (i) অ্যালবুমিন (ii) ক্রোমিয়াম (iii) চুন; নিচের কোনটি সঠিক?,"i, ii","i, iii","ii, iii","i, ii, iii",,4,,1,1
ETP কোন বর্জ্য পরিশোধন করে? (i) কঠিন (ii) তরল (iii) গ্যাসীয়; নিচের কোনটি সঠিক?,"i, ii","i, iii","ii, iii","i, ii, iii",,4,,1,1
ইউট্রোফিকেশনের ফলে পানিতে কোনটি বাড়তে দেখা দেয়?,DO,দ্রবীভূত লবণ,পুষ্টিকর উপাদান,গলিত উপাদান,,1,,1,1
শেলফিশ ব্যাকটেরিয়া মাধ্যমে কোন ভারী ধাতুটি খাদ্য-শৃঙ্খলে প্রবেশ করে?,Cd,As,Pb,Cr,,3,,1,1
কোনটি প্রকৃতিতে ‘জিওলাইট’ নামক খনিজ রূপে পাওয়া যায়?,NaAlSiO₄·H₂O,NaAlSiO₄·2H₂O,NaAlSiO₄·3H₂O,NaAlSiO₄·4H₂O,,3,,1,1
হ্যাবার প্রক্রিয়াতে N₂ ফিক্সেশনের ক্ষেত্রে NH₃ গ্যাস থেকে কোনটি প্রস্তুত করা সম্ভব?,(NH₄)₂HPO₄,(NH₄)₃PO₄,Ca(H₂PO₄)₂,CaSO₄,,1,,1,1
কয়লাতে কী হিসেবে As বর্তমান থাকে?,আর্সেনো পাইরাইট (Fe₂As₂S₂),রিয়ালগার (As₄S₄),অরপিমেন্ট (As₂S₃),নিকেলাইট (NiAs),,1,,1,1
